UserID,TotalMinutesSpent,TotalInteractions
user_0117,3004,89
user_0118,1560,53
user_0119,247,6
user_0120,1606,52
user_0121,383,12
user_0122,84,3
user_0123,1522,49
user_0124,1257,43
user_0125,780,27
user_0126,3001,104
user_0127,2518,91
user_0128,22,2
user_0129,849,27
user_0130,581,20
user_0131,575,21
user_0132,121,3
user_0133,225,7
user_0134,960,30
user_0135,2162,71
user_0136,189,6
user_0137,1061,37
user_0138,804,24
user_0139,2900,105
user_0140,128,4
user_0141,1432,49
user_0142,275,10
user_0143,2241,76
user_0144,1958,59
user_0145,958,38
user_0146,972,29
user_0147,1360,50
user_0148,408,12
user_0149,822,28
user_0150,2695,91
user_0151,1091,37
user_0152,3692,122
user_0153,2687,79
user_0154,245,11
user_0155,2102,72
user_0156,1441,47
user_0157,792,32
user_0158,417,14
user_0159,3563,115
user_0160,861,26
user_0161,2370,84
user_0162,3534,121
user_0163,3196,105
user_0164,557,18
user_0165,3329,110
user_0166,254,9
user_0167,1341,49
user_0168,117,3
user_0169,1058,32
user_0170,238,7
user_0171,830,29
user_0172,442,14
user_0173,638,23
user_0174,858,24
user_0175,1339,45
user_0176,549,17
user_0177,1839,65
user_0178,123,4
user_0179,1809,52
user_0180,220,10
user_0181,59,3
user_0182,1176,42
user_0183,1227,36
user_0184,223,7
user_0185,1732,54
user_0186,1333,42
user_0187,472,15
user_0188,1463,50
user_0189,2105,67
user_0190,764,23
user_0191,561,20
user_0192,260,10
user_0193,3029,106
user_0194,1087,38
user_0195,1004,34
user_0196,2213,77
user_0197,478,16
user_0198,1831,61
user_0199,586,22
user_0200,328,12
user_0201,2201,68
user_0202,1333,46
user_0203,356,14
user_0204,3503,102
user_0205,1129,39
user_0206,2865,93
user_0207,2510,79
user_0208,382,13
user_0209,1719,59
user_0210,2897,102
user_0211,267,6
user_0212,711,29
user_0213,843,29
user_0214,798,33
user_0215,2332,77
user_0216,1994,68
user_0217,2225,69
user_0218,931,28
user_0219,839,25
user_0220,1608,48
user_0221,1346,42
user_0222,171,5
user_0223,1767,59
user_0224,1581,53
user_0225,2566,87
user_0226,500,16
user_0227,933,28
user_0228,1392,45
user_0229,402,12
user_0230,2365,74
user_0231,549,14
user_0232,68,3
user_0233,1229,40
user_0234,1528,47
user_0235,1203,39
user_0236,628,22
user_0237,1424,53
user_0238,517,19
user_0239,95,4
user_0240,1338,47
user_0241,1036,43
user_0242,935,30
user_0243,224,7
user_0244,1137,38
user_0245,1021,37
user_0246,158,5
user_0247,1491,49
user_0248,503,18
user_0249,1604,54
user_0250,4208,139
user_0252,177,4
user_0253,1422,51
user_0254,453,19
user_0255,817,26
user_0256,486,15
user_0257,2424,78
user_0258,781,26
user_0259,772,22
user_0260,1986,69
user_0261,403,11
user_0262,2438,82
user_0263,3130,93
user_0264,2796,94
user_0265,733,30
user_0266,327,14
user_0267,2638,88
user_0268,3355,113
user_0269,354,16
user_0270,3105,102
user_0271,1458,48
user_0272,335,10
user_0273,1047,37
user_0274,285,11
user_0275,1044,32
user_0276,2960,88
user_0277,280,10
user_0278,1082,35
user_0279,1085,38
user_0280,1146,34
user_0281,2051,68
user_0282,3597,117
user_0283,1157,40
user_0284,1124,36
user_0285,50,2
user_0286,515,19
user_0287,1829,53
user_0288,587,16
user_0289,1026,36
user_0290,703,22
user_0291,166,5
user_0292,271,11
user_0293,1479,58
user_0294,187,4
user_0295,1062,41
user_0296,449,17
user_0297,925,27
user_0298,2190,72
user_0299,1979,69
user_0300,102,2
user_0301,669,20
user_0302,648,20
user_0303,1458,49
user_0304,685,21
user_0305,1495,49
user_0306,1342,41
user_0307,1212,40
user_0308,1173,40
user_0309,934,34
user_0310,1864,59
user_0311,1142,40
user_0312,1288,41
user_0314,467,18
user_0315,1126,42
user_0316,902,29
user_0317,3646,120
user_0318,1143,40
user_0319,633,20
user_0320,1063,36
user_0321,1162,45
user_0322,795,20
user_0323,449,16
user_0324,545,15
user_0325,2071,83
user_0326,2232,80
user_0327,1469,48
user_0328,1927,59
user_0329,2954,102
user_0330,2242,68
user_0331,2245,73
user_0332,272,10
user_0333,2621,80
user_0334,1241,42
user_0335,784,28
user_0336,2221,76
user_0337,1188,43
user_0338,1369,47
user_0339,301,11
user_0340,113,4
user_0341,561,17
user_0342,22,1
user_0343,2782,89
user_0344,2587,78
user_0345,1818,54
user_0346,1769,57
user_0347,519,20
user_0348,712,28
user_0349,859,27
user_0350,910,33
user_0351,385,9
user_0352,1367,45
user_0353,2127,76
user_0354,344,14
user_0355,1572,52
user_0356,2810,85
user_0357,1347,47
user_0358,227,8
user_0359,71,2
user_0360,656,23
user_0361,68,3
user_0362,2566,78
user_0363,814,24
user_0364,142,4
user_0365,1104,32
user_0366,369,13
user_0367,1957,65
user_0368,920,27
user_0369,1275,43
user_0370,705,28
user_0371,1723,53
user_0372,1378,44
user_0373,2532,77
user_0374,173,6
user_0375,458,13
user_0376,1508,47
user_0377,230,6
user_0378,138,4
user_0379,1380,47
user_0380,95,3
user_0381,488,13
user_0382,3862,136
user_0383,378,18
user_0384,449,18
user_0385,249,10
user_0386,326,13
user_0387,1192,35
user_0388,2233,83
user_0389,181,7
user_0390,24,1
user_0391,271,8
user_0392,706,24
user_0393,1638,59
user_0394,89,5
user_0395,1171,39
user_0396,783,27
user_0397,1296,31
user_0398,1243,45
user_0399,2285,76
user_0400,460,14
user_0401,2425,86
user_0402,359,14
user_0403,2729,99
user_0404,154,5
user_0405,367,10
user_0406,779,32
user_0407,857,27
user_0408,653,21
user_0409,413,9
user_0410,2120,60
user_0411,1621,54
user_0412,690,26
user_0413,2473,87
user_0414,183,8
user_0415,2137,67
user_0416,1041,36
user_0417,3134,97
user_0418,1765,62
user_0419,425,11
user_0421,237,6
user_0422,3074,101
user_0423,172,4
user_0424,386,14
user_0425,622,20
user_0426,1095,35
user_0427,1144,40
user_0428,874,29
user_0429,2783,88
user_0430,238,9
user_0431,1154,37
user_0432,1387,45
user_0433,2146,71
user_0434,79,4
user_0435,275,13
user_0436,683,26
user_0437,4099,122
user_0438,120,4
user_0439,489,18
user_0440,2487,79
user_0441,359,12
user_0442,467,15
user_0443,64,3
user_0444,704,27
user_0445,2345,81
user_0446,706,26
user_0447,3872,143
user_0448,1331,44
user_0449,78,2
user_0450,481,15
user_0451,1021,38
user_0452,2829,94
user_0453,2000,71
user_0454,1933,59
user_0455,885,29
user_0456,778,28
user_0457,1296,43
user_0458,864,29
user_0459,948,39
user_0460,500,19
user_0461,39,2
user_0462,753,29
user_0463,2324,73
user_0464,449,17
user_0465,1642,54
user_0466,1950,61
user_0467,1163,37
user_0468,318,9
user_0469,1258,43
user_0470,2417,84
user_0471,986,37
user_0472,1918,62
user_0473,606,22
user_0474,1940,64
user_0475,1641,52
user_0476,164,5
user_0477,3341,102
user_0478,1791,54
user_0479,115,4
user_0480,858,33
user_0481,1614,52
user_0483,3357,104
user_0484,1443,49
user_0485,3022,94
user_0486,851,28
user_0487,379,15
user_0488,3113,103
user_0489,303,12
user_0490,1781,62
user_0491,1591,49
user_0492,347,11
user_0493,872,32
user_0494,3194,103
user_0495,1245,41
user_0496,572,21
user_0497,3586,124
user_0498,1341,42
user_0499,29,2
user_0500,330,12
user_0501,813,30
user_0502,984,30
user_0503,1715,52
user_0504,193,7
user_0505,1713,52
user_0506,988,30
user_0507,2582,86
user_0508,2075,74
user_0509,1096,39
user_0510,1159,40
user_0511,587,19
user_0512,601,16
user_0513,2775,95
user_0514,1879,63
user_0515,266,8
user_0516,4175,122
user_0517,4026,135
user_0518,448,15
user_0519,3830,139
user_0520,1277,37
user_0521,403,15
user_0522,1252,39
user_0523,564,18
user_0524,2985,102
user_0525,193,6
user_0526,210,5
user_0527,2816,84
user_0528,596,20
user_0529,1082,36
user_0530,2292,85
user_0531,2918,83
user_0532,273,8
user_0533,1219,45
user_0534,553,19
user_0535,1772,62
user_0536,1034,33
user_0537,1326,40
user_0538,1061,36
user_0539,608,16
user_0540,2431,78
user_0541,106,2
user_0542,498,15
user_0543,1047,36
user_0544,1612,44
user_0545,2994,89
user_0546,3150,123
user_0547,1845,61
user_0548,1756,56
user_0549,838,30
user_0550,1284,44
user_0551,1294,41
user_0552,710,26
user_0553,870,31
user_0554,635,16
user_0555,3738,122
user_0556,72,3
user_0557,1768,55
user_0558,43,2
user_0559,47,1
user_0560,638,27
user_0561,358,12
user_0562,2148,74
user_0563,851,26
user_0564,1113,35
user_0565,170,5
user_0566,1872,70
user_0567,2307,79
user_0568,1189,39
user_0569,1141,30
user_0570,563,19
user_0571,2466,81
user_0572,881,31
user_0573,799,27
user_0574,825,32
user_0575,886,25
user_0576,1531,50
user_0577,223,8
user_0578,2494,87
user_0579,1056,35
user_0580,720,22
user_0581,3288,108
user_0582,3324,111
user_0583,1718,52
user_0584,2620,87
user_0585,1420,40
user_0586,1187,41
user_0587,3175,106
user_0588,2163,72
user_0589,617,23
user_0590,778,30
user_0591,668,20
user_0592,1803,57
user_0593,376,11
user_0594,850,25
user_0595,1236,41
user_0596,1145,35
user_0597,1314,44
user_0598,460,16
user_0599,722,23
user_0600,494,19
user_0601,1218,39
user_0602,243,6
user_0603,1609,54
user_0604,237,6
user_0605,694,28
user_0606,757,20
user_0607,992,32
user_0608,772,25
user_0609,1326,45
user_0610,1350,47
user_0611,89,3
user_0612,2318,80
user_0613,1396,47
user_0614,1904,62
user_0615,400,15
user_0616,1634,54
user_0618,1383,44
user_0619,59,1
user_0620,305,11
user_0621,155,5
user_0622,1125,36
user_0623,225,9
user_0624,831,28
user_0625,21,1
user_0626,2278,76
user_0627,472,17
user_0628,3123,104
user_0629,834,30
user_0630,807,24
user_0632,1063,33
user_0633,780,31
user_0634,197,8
user_0635,1039,39
user_0636,77,4
user_0637,1625,50
user_0638,786,24
user_0639,1474,50
user_0640,859,33
user_0641,1966,68
user_0642,811,27
user_0643,997,34
user_0644,35,1
user_0645,1850,65
user_0646,468,20
user_0647,450,12
user_0649,1290,46
user_0650,86,3
user_0651,553,19
user_0652,1724,55
user_0653,371,16
user_0654,3201,105
user_0655,855,27
user_0656,2496,86
user_0657,770,25
user_0658,2151,60
user_0659,1909,59
user_0660,581,26
user_0661,526,16
user_0662,195,7
user_0663,1399,48
user_0664,3162,101
user_0665,740,25
user_0666,486,17
user_0667,893,28
user_0668,1687,53
user_0669,2030,71
user_0670,2185,63
user_0671,1644,57
user_0672,267,7
user_0673,2747,90
user_0674,1980,57
user_0675,815,26
user_0676,900,26
user_0677,527,17
user_0678,3379,121
user_0679,138,6
user_0680,854,26
user_0681,1285,42
user_0682,1905,64
user_0683,47,3
user_0684,913,29
user_0685,343,12
user_0686,48,1
user_0687,1645,58
user_0688,1568,49
user_0689,3084,102
user_0690,206,7
user_0691,1646,68
user_0692,2948,108
user_0693,1345,55
user_0694,1647,50
user_0695,121,4
user_0696,1279,45
user_0697,1420,46
user_0698,1233,39
user_0699,51,1
user_0700,3233,111
user_0701,378,12
user_0702,361,13
user_0703,463,16
user_0704,1992,71
user_0705,1693,59
user_0706,1482,49
user_0707,402,14
user_0708,2672,86
user_0709,1558,53
user_0710,1063,34
user_0711,1008,32
user_0712,1189,37
user_0713,1230,42
user_0714,600,24
user_0715,1721,63
user_0716,97,3
user_0717,730,26
user_0718,658,21
user_0719,190,5
user_0721,2151,68
user_0722,2491,91
user_0723,1217,35
user_0724,2766,96
user_0725,2272,81
user_0726,1363,51
user_0727,622,22
user_0728,1236,41
user_0729,1076,34
user_0731,932,31
user_0732,456,16
user_0733,562,18
user_0734,105,4
user_0735,490,12
user_0736,325,8
user_0737,1802,69
user_0738,2314,72
user_0739,912,35
user_0740,2653,97
user_0741,169,8
user_0742,3618,113
user_0743,603,18
user_0744,182,6
user_0745,2304,74
user_0746,131,5
user_0747,387,15
user_0748,1532,45
user_0749,372,15
user_0750,638,20
user_0751,1321,40
user_0752,978,34
user_0753,1523,53
user_0754,3397,123
user_0755,1828,58
user_0756,3701,119
user_0757,1126,39
user_0758,1137,41
user_0759,325,12
user_0760,554,20
user_0761,390,15
user_0762,1874,61
user_0763,205,6
user_0764,2410,86
user_0765,2901,105
user_0766,2180,82
user_0767,2009,76
user_0768,1179,41
user_0769,2072,71
user_0770,1197,37
user_0771,1013,32
user_0772,361,11
user_0773,1123,35
user_0774,3510,119
user_0775,479,19
user_0776,677,20
user_0777,356,13
user_0778,37,1
user_0779,634,27
user_0780,611,18
user_0781,506,17
user_0782,1713,55
user_0783,732,25
user_0785,2461,97
user_0786,1515,56
user_0787,2960,96
user_0788,2085,70
user_0789,362,15
user_0790,437,15
user_0791,593,24
user_0792,36,4
user_0793,2714,93
user_0794,197,6
user_0795,329,9
user_0796,288,11
user_0797,62,5
user_0798,307,10
user_0799,1013,29
user_0800,2186,76
user_0801,32,2
user_0802,4216,138
user_0803,1030,36
user_0804,2976,94
user_0805,2752,95
user_0806,324,11
user_0807,791,24
user_0808,227,7
user_0809,1969,65
user_0810,732,22
user_0811,2,1
user_0812,163,6
user_0813,152,5
user_0814,592,21
user_0815,2007,70
user_0816,1311,35
user_0817,3680,121
user_0818,657,21
user_0819,2696,94
user_0820,359,13
user_0821,3968,128
user_0822,1140,36
user_0823,1511,54
user_0824,638,20
user_0825,694,34
user_0826,1536,51
user_0827,274,8
user_0828,436,15
user_0829,3466,110
user_0830,306,8
user_0831,851,23
user_0832,987,28
user_0833,1052,35
user_0834,83,4
user_0835,1754,61
user_0836,1668,57
user_0837,2446,79
user_0838,2005,70
user_0839,938,34
user_0840,1071,33
user_0841,3550,125
user_0842,488,23
user_0843,3979,136
user_0844,1861,65
user_0845,2223,71
user_0846,346,12
user_0847,3707,126
user_0848,174,6
user_0849,2447,79
user_0850,1796,55
user_0851,500,17
user_0852,2954,97
user_0853,121,5
user_0854,2541,83
user_0855,3752,135
user_0856,675,20
user_0857,338,11
user_0858,541,17
user_0859,2253,76
user_0860,604,23
user_0861,676,25
user_0862,2044,70
user_0863,1267,44
user_0864,2073,72
user_0865,1188,39
user_0866,2936,92
user_0867,56,2
user_0868,3036,107
user_0869,266,9
user_0870,3506,121
user_0871,373,13
user_0872,233,11
user_0873,1983,55
user_0874,287,11
user_0875,918,40
user_0876,4348,139
user_0877,3208,107
user_0879,489,18
user_0880,965,33
user_0881,1210,43
user_0882,623,17
user_0883,1121,33
user_0884,3758,124
user_0885,1189,38
user_0886,177,7
user_0887,621,24
user_0888,2524,80
user_0889,1349,44
user_0891,1959,60
user_0892,2500,94
user_0893,1687,48
user_0894,286,14
user_0895,1139,41
user_0896,3466,120
user_0897,1026,38
user_0898,799,29
user_0899,24,1
user_0900,792,25
user_0901,1121,42
user_0902,327,10
user_0903,1187,46
user_0904,2327,76
user_0905,600,17
user_0906,338,12
user_0907,153,6
user_0908,678,22
user_0909,3242,108
user_0910,938,29
user_0911,718,25
user_0912,1500,46
user_0913,2795,93
user_0914,538,19
user_0915,1462,49
user_0916,2821,97
user_0917,1283,43
user_0918,636,22
user_0919,297,13
user_0920,1183,47
user_0921,2897,101
user_0922,1003,30
user_0923,427,15
user_0924,2558,79
user_0925,1410,49
user_0926,931,34
user_0927,1000,35
user_0928,308,10
user_0929,2648,87
user_0930,410,13
user_0931,1243,35
user_0932,2283,83
user_0933,1174,41
user_0934,873,33
user_0935,3057,97
user_0936,830,29
user_0937,910,30
user_0938,183,7
user_0939,746,29
user_0940,453,16
user_0941,35,1
user_0942,318,10
user_0943,1234,41
user_0944,940,32
user_0945,94,4
user_0946,1462,50
user_0947,2762,94
user_0948,1258,44
user_0949,1787,55
user_0950,24,3
user_0951,15,1
user_0952,146,6
user_0953,273,8
user_0954,2685,83
user_0955,1007,38
user_0956,893,28
user_0957,1122,36
user_0958,596,25
user_0959,629,24
user_0960,3671,127
user_0961,831,26
user_0962,1204,36
user_0963,1224,41
user_0964,1509,54
user_0965,1002,32
user_0966,294,13
user_0967,1082,32
user_0968,638,22
user_0969,2735,91
user_0970,222,6
user_0971,1938,68
user_0972,1328,36
user_0973,3200,106
user_0974,2506,81
user_0975,253,8
user_0976,92,4
user_0977,1361,44
user_0978,952,36
user_0979,2138,80
user_0980,478,15
user_0981,991,28
user_0983,2214,69
user_0984,89,3
user_0985,818,28
user_0986,2286,75
user_0987,1571,54
user_0988,4521,135
user_0989,2842,91
user_0990,1372,45
user_0991,1901,68
user_0992,1056,39
user_0993,1063,34
user_0994,2380,74
user_0995,214,6
user_0996,428,13
user_0997,524,20
user_0998,2330,83
user_0999,307,9
user_1000,365,10
